Test-focused sweep: runs=10000 / candidates=77616 (epochs=3, split_strategy=random, seed=42, split=70/15/15, train_max_samples=50000)
[151/10000] wide2  hidden=512,256                  bs=8192 lr=0.003  do=0.15 wd=0.005  test_rmse=1.8595  test_acc=0.00%  (3.9s)
[152/10000] base3  hidden=256,128,64               bs=1024 lr=0.0015 do=0.1  wd=1e-06  test_rmse=0.8668  test_acc=72.31%  (2.73s)
[153/10000] big3   hidden=1024,512,256             bs=8192 lr=0.0015 do=0.05 wd=0.0005 test_rmse=2.0890  test_acc=0.00%  (5.33s)
[154/10000] deep4  hidden=512,256,128,64           bs=4096 lr=0.003  do=0.15 wd=0.001  test_rmse=1.3617  test_acc=42.59%  (3.81s)
[155/10000] tiny2  hidden=64,32                    bs=4096 lr=0.002  do=0.2  wd=0.001  test_rmse=3.4289  test_acc=5.92%  (2.73s)
[156/10000] small2 hidden=128,64                   bs=1024 lr=0.003  do=0.05 wd=1e-05  test_rmse=0.6348  test_acc=72.78%  (2.25s)
[157/10000] small2 hidden=128,64                   bs=8192 lr=0.0005 do=0.2  wd=0.0    test_rmse=11.2938  test_acc=0.00%  (2.96s)
[158/10000] base2  hidden=256,128                  bs=2048 lr=0.004  do=0.02 wd=0.0001 test_rmse=0.6896  test_acc=65.97%  (2.63s)
[159/10000] base2  hidden=256,128                  bs=4096 lr=0.0005 do=0.3  wd=1e-05  test_rmse=4.3188  test_acc=0.03%  (3.05s)
[160/10000] base2  hidden=256,128                  bs=2048 lr=0.0015 do=0.02 wd=0.0001 test_rmse=1.5297  test_acc=41.02%  (2.5s)
[161/10000] big5   hidden=1024,512,256,128,64      bs=2048 lr=0.0015 do=0.2  wd=0.001  test_rmse=1.1361  test_acc=56.17%  (5.31s)
[162/10000] base3  hidden=256,128,64               bs=1024 lr=0.0005 do=0.3  wd=1e-05  test_rmse=1.7405  test_acc=53.77%  (2.66s)
[163/10000] tiny2  hidden=64,32                    bs=4096 lr=0.002  do=0.3  wd=0.0    test_rmse=4.2453  test_acc=0.11%  (2.65s)
[164/10000] tiny2  hidden=64,32                    bs=1024 lr=0.004  do=0.0  wd=0.005  test_rmse=0.7016  test_acc=69.45%  (1.97s)
[165/10000] deep4  hidden=512,256,128,64           bs=1024 lr=0.003  do=0.2  wd=0.001  test_rmse=0.7032  test_acc=65.78%  (3.62s)
[166/10000] tiny2  hidden=64,32                    bs=1024 lr=0.002  do=0.05 wd=0.0005 test_rmse=0.8355  test_acc=68.13%  (2.09s)
[167/10000] big5   hidden=1024,512,256,128,64      bs=2048 lr=0.0005 do=0.02 wd=1e-05  test_rmse=2.1129  test_acc=36.23%  (5.29s)
[168/10000] base2  hidden=256,128                  bs=8192 lr=0.004  do=0.3  wd=1e-06  test_rmse=2.3069  test_acc=0.00%  (3.18s)
[169/10000] wide3  hidden=512,256,128              bs=4096 lr=0.001  do=0.3  wd=0.005  test_rmse=1.6861  test_acc=42.93%  (3.75s)
[170/10000] deep4  hidden=512,256,128,64           bs=8192 lr=0.004  do=0.1  wd=1e-05  test_rmse=2.8723  test_acc=11.16%  (3.9s)
[171/10000] small3 hidden=128,64,32                bs=8192 lr=0.003  do=0.02 wd=1e-05  test_rmse=3.1099  test_acc=6.58%  (2.99s)
[172/10000] tiny2  hidden=64,32                    bs=2048 lr=0.0015 do=0.15 wd=0.005  test_rmse=2.0923  test_acc=27.19%  (2.26s)
[173/10000] wide2  hidden=512,256                  bs=4096 lr=0.0007 do=0.02 wd=0.005  test_rmse=1.7232  test_acc=30.52%  (3.58s)
[174/10000] big3   hidden=1024,512,256             bs=1024 lr=0.002  do=0.2  wd=1e-05  test_rmse=0.6291  test_acc=71.65%  (5.08s)
[175/10000] base3  hidden=256,128,64               bs=1024 lr=0.001  do=0.0  wd=0.005  test_rmse=0.7419  test_acc=71.25%  (2.51s)
[176/10000] big4   hidden=1024,512,256,128         bs=2048 lr=0.002  do=0.3  wd=0.0    test_rmse=0.8976  test_acc=63.00%  (5.19s)
[177/10000] base2  hidden=256,128                  bs=1024 lr=0.0007 do=0.0  wd=0.001  test_rmse=0.9535  test_acc=64.40%  (2.38s)
[178/10000] base3  hidden=256,128,64               bs=2048 lr=0.004  do=0.15 wd=0.001  test_rmse=0.8928  test_acc=66.31%  (2.66s)
[179/10000] deep4  hidden=512,256,128,64           bs=2048 lr=0.0025 do=0.02 wd=0.001  test_rmse=1.2045  test_acc=63.10%  (3.46s)
[180/10000] small3 hidden=128,64,32                bs=2048 lr=0.0005 do=0.02 wd=0.001  test_rmse=2.7415  test_acc=3.15%  (2.38s)
[181/10000] big5   hidden=1024,512,256,128,64      bs=2048 lr=0.004  do=0.05 wd=0.0001 test_rmse=0.8854  test_acc=56.43%  (5.42s)
